Fecha;ID;NOME;CASOS;NIVEL
26-12-2020;34121515001;ABEGONDO; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
26-12-2020;34121515002;AMES; 36;Incidencia acumulada para o concello: >50 e <=150
26-12-2020;34121515003;ARANGA; 13;Incidencia acumulada para o concello: >250
26-12-2020;34121515004;ARES; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
26-12-2020;34121515005;ARTEIXO; 28;Incidencia acumulada para o concello: >50 e <=150
26-12-2020;34121515006;ARZUA; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
26-12-2020;34121515007;BAÑA (A); entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
26-12-2020;34121515008;BERGONDO; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
26-12-2020;34121515009;BETANZOS; entre 1 e 9;Incidencia acumulada para o concello: >25 e <=50
26-12-2020;34121515010;BOIMORTO; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
26-12-2020;34121515011;BOIRO; 160;Incidencia acumulada para o concello: >250
26-12-2020;34121515012;BOQUEIXON; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
26-12-2020;34121515013;BRION; 12;Incidencia acumulada para o concello: >150 e <=250
26-12-2020;34121515014;CABANA DE BERGANTIÑOS; entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
26-12-2020;34121515015;CABANAS; entre 1 e 9;Incidencia acumulada para o concello: >25 e <=50
26-12-2020;34121515016;CAMARIÑAS; 10;Incidencia acumulada para o concello: >150 e <=250
26-12-2020;34121515017;CAMBRE; 28;Incidencia acumulada para o concello: >50 e <=150
26-12-2020;34121515018;CAPELA (A);0;Incidencia acumulada para o concello: <=25
26-12-2020;34121515019;CARBALLO; 16;Incidencia acumulada para o concello: >50 e <=150
26-12-2020;34121515020;CARNOTA; 18;Incidencia acumulada para o concello: >250
26-12-2020;34121515021;CARRAL; 27;Incidencia acumulada para o concello: >250
26-12-2020;34121515022;CEDEIRA; 10;Incidencia acumulada para o concello: >150 e <=250
26-12-2020;34121515023;CEE; 11;Incidencia acumulada para o concello: >50 e <=150
26-12-2020;34121515024;CERCEDA;0;Incidencia acumulada para o concello: <=25
26-12-2020;34121515025;CERDIDO;0;Incidencia acumulada para o concello: <=25
