Fecha;ID;NOME;CASOS;NIVEL
22-02-2021;34121515001;ABEGONDO; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
22-02-2021;34121515002;AMES; 35;Incidencia acumulada para o concello: >50 e <=150
22-02-2021;34121515003;ARANGA; entre 1 e 9;Incidencia acumulada para o concello: >250
22-02-2021;34121515004;ARES; 15;Incidencia acumulada para o concello: >250
22-02-2021;34121515005;ARTEIXO; 103;Incidencia acumulada para o concello: >250
22-02-2021;34121515006;ARZUA; 23;Incidencia acumulada para o concello: >250
22-02-2021;34121515007;BAÑA (A); entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
22-02-2021;34121515008;BERGONDO; 14;Incidencia acumulada para o concello: >150 e <=250
22-02-2021;34121515009;BETANZOS; 39;Incidencia acumulada para o concello: >250
22-02-2021;34121515010;BOIMORTO; entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
22-02-2021;34121515011;BOIRO; 22;Incidencia acumulada para o concello: >50 e <=150
22-02-2021;34121515012;BOQUEIXON; entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
22-02-2021;34121515013;BRION; 16;Incidencia acumulada para o concello: >150 e <=250
22-02-2021;34121515014;CABANA DE BERGANTIÑOS; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
22-02-2021;34121515015;CABANAS; 29;Incidencia acumulada para o concello: >250
22-02-2021;34121515016;CAMARIÑAS; entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
22-02-2021;34121515017;CAMBRE; 68;Incidencia acumulada para o concello: >250
22-02-2021;34121515018;CAPELA (A);0;Incidencia acumulada para o concello: <=25
22-02-2021;34121515019;CARBALLO; 162;Incidencia acumulada para o concello: >250
22-02-2021;34121515020;CARNOTA; entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
22-02-2021;34121515021;CARRAL; 28;Incidencia acumulada para o concello: >250
22-02-2021;34121515022;CEDEIRA; 24;Incidencia acumulada para o concello: >250
22-02-2021;34121515023;CEE; 12;Incidencia acumulada para o concello: >150 e <=250
22-02-2021;34121515024;CERCEDA; 10;Incidencia acumulada para o concello: >150 e <=250
22-02-2021;34121515025;CERDIDO; entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
22-02-2021;34121515027;COIROS; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
22-02-2021;34121515028;CORCUBION; 10;Incidencia acumulada para o concello: >250
22-02-2021;34121515029;CORISTANCO; 10;Incidencia acumulada para o concello: >150 e <=250
22-02-2021;34121515030;CORUÑA (A); 909;Incidencia acumulada para o concello: >250
22-02-2021;34121515031;CULLEREDO; 93;Incidencia acumulada para o concello: >250
22-02-2021;34121515032;CURTIS; 20;Incidencia acumulada para o concello: >250
22-02-2021;34121515033;DODRO; 11;Incidencia acumulada para o concello: >250
22-02-2021;34121515034;DUMBRIA; entre 1 e 9;Incidencia acumulada para o concello: >25 e <=50
22-02-2021;34121515035;FENE; 26;Incidencia acumulada para o concello: >150 e <=250
22-02-2021;34121515036;FERROL; 231;Incidencia acumulada para o concello: >250
22-02-2021;34121515037;FISTERRA; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
22-02-2021;34121515038;FRADES; entre 1 e 9;Incidencia acumulada para o concello: >250
22-02-2021;34121515039;IRIXOA;0;Incidencia acumulada para o concello: <=25
22-02-2021;34121515040;LAXE; entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
22-02-2021;34121515041;LARACHA; 50;Incidencia acumulada para o concello: >250
22-02-2021;34121515042;LOUSAME; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
22-02-2021;34121515043;MALPICA DE BERGANTIÑOS; 26;Incidencia acumulada para o concello: >250
22-02-2021;34121515044;MAÑON; entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
22-02-2021;34121515045;MAZARICOS; entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
22-02-2021;34121515046;MELIDE; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
22-02-2021;34121515047;MESIA; entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
22-02-2021;34121515048;MIÑO; 16;Incidencia acumulada para o concello: >250
22-02-2021;34121515049;MOECHE; 15;Incidencia acumulada para o concello: >250
22-02-2021;34121515050;MONFERO; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
22-02-2021;34121515051;MUGARDOS; 10;Incidencia acumulada para o concello: >150 e <=250
22-02-2021;34121515052;MUXIA; 22;Incidencia acumulada para o concello: >250
22-02-2021;34121515053;MUROS; entre 1 e 9;Incidencia acumulada para o concello: >25 e <=50
22-02-2021;34121515054;NARON; 114;Incidencia acumulada para o concello: >250
22-02-2021;34121515055;NEDA; 18;Incidencia acumulada para o concello: >250
22-02-2021;34121515056;NEGREIRA; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
