Fecha;ID;NOME;CASOS;NIVEL
22-12-2020;34121515001;ABEGONDO; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
22-12-2020;34121515002;AMES; 33;Incidencia acumulada para o concello: >50 e <=150
22-12-2020;34121515003;ARANGA; 16;Incidencia acumulada para o concello: >250
22-12-2020;34121515004;ARES; entre 1 e 9;Incidencia acumulada para o concello: >25 e <=50
22-12-2020;34121515005;ARTEIXO; 35;Incidencia acumulada para o concello: >50 e <=150
22-12-2020;34121515006;ARZUA; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
22-12-2020;34121515007;BAÑA (A); entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
22-12-2020;34121515008;BERGONDO; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
22-12-2020;34121515009;BETANZOS; entre 1 e 9;Incidencia acumulada para o concello: >25 e <=50
22-12-2020;34121515010;BOIMORTO;0;Incidencia acumulada para o concello: <=25
22-12-2020;34121515011;BOIRO; 187;Incidencia acumulada para o concello: >250
22-12-2020;34121515012;BOQUEIXON; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
22-12-2020;34121515013;BRION; 12;Incidencia acumulada para o concello: >150 e <=250
22-12-2020;34121515014;CABANA DE BERGANTIÑOS; 14;Incidencia acumulada para o concello: >250
22-12-2020;34121515015;CABANAS; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
22-12-2020;34121515016;CAMARIÑAS; 14;Incidencia acumulada para o concello: >250
22-12-2020;34121515017;CAMBRE; 32;Incidencia acumulada para o concello: >50 e <=150
22-12-2020;34121515018;CAPELA (A);0;Incidencia acumulada para o concello: <=25
22-12-2020;34121515019;CARBALLO; 16;Incidencia acumulada para o concello: >50 e <=150
22-12-2020;34121515020;CARNOTA; 19;Incidencia acumulada para o concello: >250
22-12-2020;34121515021;CARRAL; 18;Incidencia acumulada para o concello: >250
22-12-2020;34121515022;CEDEIRA; 11;Incidencia acumulada para o concello: >150 e <=250
22-12-2020;34121515023;CEE; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
22-12-2020;34121515024;CERCEDA;0;Incidencia acumulada para o concello: <=25
22-12-2020;34121515025;CERDIDO;0;Incidencia acumulada para o concello: <=25
22-12-2020;34121515027;COIROS; entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
22-12-2020;34121515028;CORCUBION; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
22-12-2020;34121515029;CORISTANCO; entre 1 e 9;Incidencia acumulada para o concello: >25 e <=50
22-12-2020;34121515030;CORUÑA (A); 289;Incidencia acumulada para o concello: >50 e <=150
22-12-2020;34121515031;CULLEREDO; 34;Incidencia acumulada para o concello: >50 e <=150
22-12-2020;34121515032;CURTIS; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
22-12-2020;34121515033;DODRO; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
22-12-2020;34121515034;DUMBRIA; entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
22-12-2020;34121515035;FENE; 18;Incidencia acumulada para o concello: >50 e <=150
22-12-2020;34121515036;FERROL; 97;Incidencia acumulada para o concello: >50 e <=150
22-12-2020;34121515037;FISTERRA; 71;Incidencia acumulada para o concello: >250
22-12-2020;34121515038;FRADES; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
22-12-2020;34121515039;IRIXOA; entre 1 e 9;Incidencia acumulada para o concello: >250
22-12-2020;34121515040;LAXE; entre 1 e 9;Incidencia acumulada para o concello: >25 e <=50
22-12-2020;34121515041;LARACHA; entre 1 e 9;Incidencia acumulada para o concello: <=25
