Fecha;ID;NOME;CASOS;NIVEL
19-01-2021;34121515001;ABEGONDO; 23;Incidencia acumulada para o concello: >250
19-01-2021;34121515002;AMES; 151;Incidencia acumulada para o concello: >250
19-01-2021;34121515003;ARANGA; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
19-01-2021;34121515004;ARES; 17;Incidencia acumulada para o concello: >250
19-01-2021;34121515005;ARTEIXO; 474;Incidencia acumulada para o concello: >250
19-01-2021;34121515006;ARZUA; 56;Incidencia acumulada para o concello: >250
19-01-2021;34121515007;BAÑA (A); 14;Incidencia acumulada para o concello: >250
19-01-2021;34121515008;BERGONDO; 26;Incidencia acumulada para o concello: >250
19-01-2021;34121515009;BETANZOS; 86;Incidencia acumulada para o concello: >250
19-01-2021;34121515010;BOIMORTO; 11;Incidencia acumulada para o concello: >250
19-01-2021;34121515011;BOIRO; 64;Incidencia acumulada para o concello: >250
19-01-2021;34121515012;BOQUEIXON; 27;Incidencia acumulada para o concello: >250
19-01-2021;34121515013;BRION; 40;Incidencia acumulada para o concello: >250
19-01-2021;34121515014;CABANA DE BERGANTIÑOS; 14;Incidencia acumulada para o concello: >250
19-01-2021;34121515015;CABANAS; 34;Incidencia acumulada para o concello: >250
19-01-2021;34121515016;CAMARIÑAS; 88;Incidencia acumulada para o concello: >250
19-01-2021;34121515017;CAMBRE; 174;Incidencia acumulada para o concello: >250
19-01-2021;34121515018;CAPELA (A); entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
19-01-2021;34121515019;CARBALLO; 209;Incidencia acumulada para o concello: >250
19-01-2021;34121515020;CARNOTA; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
19-01-2021;34121515021;CARRAL; 29;Incidencia acumulada para o concello: >250
19-01-2021;34121515022;CEDEIRA; 48;Incidencia acumulada para o concello: >250
19-01-2021;34121515023;CEE; 54;Incidencia acumulada para o concello: >250
19-01-2021;34121515024;CERCEDA; 75;Incidencia acumulada para o concello: >250
19-01-2021;34121515025;CERDIDO; 11;Incidencia acumulada para o concello: >250
19-01-2021;34121515027;COIROS; entre 1 e 9;Incidencia acumulada para o concello: >250
19-01-2021;34121515028;CORCUBION; entre 1 e 9;Incidencia acumulada para o concello: >250
19-01-2021;34121515029;CORISTANCO; 47;Incidencia acumulada para o concello: >250
19-01-2021;34121515030;CORUÑA (A); 1432;Incidencia acumulada para o concello: >250
19-01-2021;34121515031;CULLEREDO; 170;Incidencia acumulada para o concello: >250
19-01-2021;34121515032;CURTIS; 12;Incidencia acumulada para o concello: >250
19-01-2021;34121515033;DODRO; 25;Incidencia acumulada para o concello: >250
19-01-2021;34121515034;DUMBRIA; 30;Incidencia acumulada para o concello: >250
19-01-2021;34121515035;FENE; 122;Incidencia acumulada para o concello: >250
19-01-2021;34121515036;FERROL; 293;Incidencia acumulada para o concello: >250
19-01-2021;34121515037;FISTERRA; 14;Incidencia acumulada para o concello: >250
19-01-2021;34121515038;FRADES; 11;Incidencia acumulada para o concello: >250
19-01-2021;34121515039;IRIXOA; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
19-01-2021;34121515040;LAXE; 40;Incidencia acumulada para o concello: >250
19-01-2021;34121515041;LARACHA; 82;Incidencia acumulada para o concello: >250
19-01-2021;34121515042;LOUSAME; 25;Incidencia acumulada para o concello: >250
19-01-2021;34121515043;MALPICA DE BERGANTIÑOS; 15;Incidencia acumulada para o concello: >250
19-01-2021;34121515044;MAÑON; 48;Incidencia acumulada para o concello: >250
19-01-2021;34121515045;MAZARICOS; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
19-01-2021;34121515046;MELIDE; 69;Incidencia acumulada para o concello: >250
19-01-2021;34121515047;MESIA; 10;Incidencia acumulada para o concello: >250
19-01-2021;34121515048;MIÑO; 10;Incidencia acumulada para o concello: >150 e <=250
19-01-2021;34121515049;MOECHE; 24;Incidencia acumulada para o concello: >250
19-01-2021;34121515050;MONFERO; entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
19-01-2021;34121515051;MUGARDOS; 39;Incidencia acumulada para o concello: >250
19-01-2021;34121515052;MUXIA; 22;Incidencia acumulada para o concello: >250
19-01-2021;34121515053;MUROS; 23;Incidencia acumulada para o concello: >250
19-01-2021;34121515054;NARON; 182;Incidencia acumulada para o concello: >250
19-01-2021;34121515055;NEDA; 34;Incidencia acumulada para o concello: >250
19-01-2021;34121515056;NEGREIRA; 37;Incidencia acumulada para o concello: >250
19-01-2021;34121515057;NOIA; 73;Incidencia acumulada para o concello: >250
