Fecha;ID;NOME;CASOS;NIVEL
23-01-2021;34121515001;ABEGONDO; 36;Incidencia acumulada para o concello: >250
23-01-2021;34121515002;AMES; 161;Incidencia acumulada para o concello: >250
23-01-2021;34121515003;ARANGA; entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
23-01-2021;34121515004;ARES; 28;Incidencia acumulada para o concello: >250
23-01-2021;34121515005;ARTEIXO; 562;Incidencia acumulada para o concello: >250
23-01-2021;34121515006;ARZUA; 54;Incidencia acumulada para o concello: >250
23-01-2021;34121515007;BAÑA (A); 17;Incidencia acumulada para o concello: >250
23-01-2021;34121515008;BERGONDO; 35;Incidencia acumulada para o concello: >250
23-01-2021;34121515009;BETANZOS; 162;Incidencia acumulada para o concello: >250
23-01-2021;34121515010;BOIMORTO; 11;Incidencia acumulada para o concello: >250
23-01-2021;34121515011;BOIRO; 54;Incidencia acumulada para o concello: >250
23-01-2021;34121515012;BOQUEIXON; 65;Incidencia acumulada para o concello: >250
23-01-2021;34121515013;BRION; 44;Incidencia acumulada para o concello: >250
23-01-2021;34121515014;CABANA DE BERGANTIÑOS; 16;Incidencia acumulada para o concello: >250
23-01-2021;34121515015;CABANAS; 36;Incidencia acumulada para o concello: >250
23-01-2021;34121515016;CAMARIÑAS; 77;Incidencia acumulada para o concello: >250
23-01-2021;34121515017;CAMBRE; 251;Incidencia acumulada para o concello: >250
23-01-2021;34121515018;CAPELA (A); entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
23-01-2021;34121515019;CARBALLO; 299;Incidencia acumulada para o concello: >250
23-01-2021;34121515020;CARNOTA; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
23-01-2021;34121515021;CARRAL; 47;Incidencia acumulada para o concello: >250
23-01-2021;34121515022;CEDEIRA; 63;Incidencia acumulada para o concello: >250
23-01-2021;34121515023;CEE; 45;Incidencia acumulada para o concello: >250
23-01-2021;34121515024;CERCEDA; 74;Incidencia acumulada para o concello: >250
23-01-2021;34121515025;CERDIDO; 14;Incidencia acumulada para o concello: >250
23-01-2021;34121515027;COIROS; 19;Incidencia acumulada para o concello: >250
23-01-2021;34121515028;CORCUBION; entre 1 e 9;Incidencia acumulada para o concello: >250
23-01-2021;34121515029;CORISTANCO; 63;Incidencia acumulada para o concello: >250
23-01-2021;34121515030;CORUÑA (A); 1941;Incidencia acumulada para o concello: >250
23-01-2021;34121515031;CULLEREDO; 231;Incidencia acumulada para o concello: >250
23-01-2021;34121515032;CURTIS; 11;Incidencia acumulada para o concello: >250
23-01-2021;34121515033;DODRO; 29;Incidencia acumulada para o concello: >250
23-01-2021;34121515034;DUMBRIA; 36;Incidencia acumulada para o concello: >250
23-01-2021;34121515035;FENE; 147;Incidencia acumulada para o concello: >250
23-01-2021;34121515036;FERROL; 386;Incidencia acumulada para o concello: >250
23-01-2021;34121515037;FISTERRA; 29;Incidencia acumulada para o concello: >250
23-01-2021;34121515038;FRADES; 20;Incidencia acumulada para o concello: >250
23-01-2021;34121515039;IRIXOA; entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
23-01-2021;34121515040;LAXE; 31;Incidencia acumulada para o concello: >250
23-01-2021;34121515041;LARACHA; 118;Incidencia acumulada para o concello: >250
23-01-2021;34121515042;LOUSAME; 15;Incidencia acumulada para o concello: >250
23-01-2021;34121515043;MALPICA DE BERGANTIÑOS; 39;Incidencia acumulada para o concello: >250
23-01-2021;34121515044;MAÑON; 50;Incidencia acumulada para o concello: >250
23-01-2021;34121515045;MAZARICOS; entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
23-01-2021;34121515046;MELIDE; 64;Incidencia acumulada para o concello: >250
23-01-2021;34121515047;MESIA; 14;Incidencia acumulada para o concello: >250
23-01-2021;34121515048;MIÑO; 27;Incidencia acumulada para o concello: >250
23-01-2021;34121515049;MOECHE; 47;Incidencia acumulada para o concello: >250
23-01-2021;34121515050;MONFERO; entre 1 e 9;Incidencia acumulada para o concello: >250
23-01-2021;34121515051;MUGARDOS; 61;Incidencia acumulada para o concello: >250
23-01-2021;34121515052;MUXIA; 29;Incidencia acumulada para o concello: >250
23-01-2021;34121515053;MUROS; 26;Incidencia acumulada para o concello: >250
23-01-2021;34121515054;NARON; 250;Incidencia acumulada para o concello: >250
23-01-2021;34121515055;NEDA; 42;Incidencia acumulada para o concello: >250
23-01-2021;34121515056;NEGREIRA; 34;Incidencia acumulada para o concello: >250
23-01-2021;34121515057;NOIA; 59;Incidencia acumulada para o concello: >250
23-01-2021;34121515058;OLEIROS; 202;Incidencia acumulada para o concello: >250
23-01-2021;34121515059;ORDES; 82;Incidencia acumulada para o concello: >250
23-01-2021;34121515060;OROSO; 61;Incidencia acumulada para o concello: >250
23-01-2021;34121515061;ORTIGUEIRA; 94;Incidencia acumulada para o concello: >250
23-01-2021;34121515062;OUTES; 24;Incidencia acumulada para o concello: >250
23-01-2021;34121515064;PADERNE; 10;Incidencia acumulada para o concello: >250
23-01-2021;34121515065;PADRON; 122;Incidencia acumulada para o concello: >250
23-01-2021;34121515066;PINO (O); 31;Incidencia acumulada para o concello: >250
23-01-2021;34121515067;POBRA DO CARAMIÑAL A; 23;Incidencia acumulada para o concello: >150 e <=250
23-01-2021;34121515068;PONTECESO; 22;Incidencia acumulada para o concello: >250
23-01-2021;34121515069;PONTEDEUME; 86;Incidencia acumulada para o concello: >250
23-01-2021;34121515070;PONTES DE GARCIA RODRIGUEZ (AS); 35;Incidencia acumulada para o concello: >250
23-01-2021;34121515071;PORTO DO SON; 35;Incidencia acumulada para o concello: >250
23-01-2021;34121515072;RIANXO; 41;Incidencia acumulada para o concello: >250
23-01-2021;34121515073;RIBEIRA; 140;Incidencia acumulada para o concello: >250
23-01-2021;34121515074;ROIS; 86;Incidencia acumulada para o concello: >250
23-01-2021;34121515075;SADA; 155;Incidencia acumulada para o concello: >250
23-01-2021;34121515076;SAN SADURNIÑO; 34;Incidencia acumulada para o concello: >250
23-01-2021;34121515077;SANTA COMBA; 33;Incidencia acumulada para o concello: >250
23-01-2021;34121515078;SANTIAGO DE COMPOSTELA; 652;Incidencia acumulada para o concello: >250
23-01-2021;34121515079;SANTISO; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
23-01-2021;34121515080;SOBRADO; 14;Incidencia acumulada para o concello: >250
23-01-2021;34121515081;SOMOZAS; 17;Incidencia acumulada para o concello: >250
23-01-2021;34121515082;TEO; 71;Incidencia acumulada para o concello: >250
23-01-2021;34121515083;TOQUES; entre 1 e 9;Incidencia acumulada para o concello: >250
23-01-2021;34121515084;TORDOIA; 21;Incidencia acumulada para o concello: >250
23-01-2021;34121515085;TOURO; 26;Incidencia acumulada para o concello: >250
23-01-2021;34121515086;TRAZO; 18;Incidencia acumulada para o concello: >250
23-01-2021;34121515087;VALDOVIÑO; 37;Incidencia acumulada para o concello: >250
23-01-2021;34121515088;VAL DO DUBRA; 57;Incidencia acumulada para o concello: >250
23-01-2021;34121515089;VEDRA; 26;Incidencia acumulada para o concello: >250
23-01-2021;34121515090;VILASANTAR; 21;Incidencia acumulada para o concello: >250
23-01-2021;34121515091;VILARMAIOR; entre 1 e 9;Incidencia acumulada para o concello: >250
23-01-2021;34121515092;VIMIANZO; 89;Incidencia acumulada para o concello: >250
23-01-2021;34121515093;ZAS; 20;Incidencia acumulada para o concello: >250
23-01-2021;34121515901;CARIÑO; 18;Incidencia acumulada para o concello: >250
23-01-2021;34121515902;OZA-CESURAS; 42;Incidencia acumulada para o concello: >250
23-01-2021;34122727001;ABADIN; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
23-01-2021;34122727002;ALFOZ; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
23-01-2021;34122727003;ANTAS DE ULLA; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
23-01-2021;34122727004;BALEIRA;0;Incidencia acumulada para o concello: <=25
23-01-2021;34122727005;BARREIROS; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
