Fecha;ID;NOME;CASOS;NIVEL
05-02-2021;34121515001;ABEGONDO; 46;Incidencia acumulada para o concello: >250
05-02-2021;34121515002;AMES; 180;Incidencia acumulada para o concello: >250
05-02-2021;34121515003;ARANGA; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
05-02-2021;34121515004;ARES; 58;Incidencia acumulada para o concello: >250
05-02-2021;34121515005;ARTEIXO; 435;Incidencia acumulada para o concello: >250
05-02-2021;34121515006;ARZUA; 76;Incidencia acumulada para o concello: >250
05-02-2021;34121515007;BAÑA (A); 13;Incidencia acumulada para o concello: >250
05-02-2021;34121515008;BERGONDO; 52;Incidencia acumulada para o concello: >250
05-02-2021;34121515009;BETANZOS; 216;Incidencia acumulada para o concello: >250
05-02-2021;34121515010;BOIMORTO; 12;Incidencia acumulada para o concello: >250
05-02-2021;34121515011;BOIRO; 47;Incidencia acumulada para o concello: >150 e <=250
05-02-2021;34121515012;BOQUEIXON; 75;Incidencia acumulada para o concello: >250
05-02-2021;34121515013;BRION; 40;Incidencia acumulada para o concello: >250
05-02-2021;34121515014;CABANA DE BERGANTIÑOS; 16;Incidencia acumulada para o concello: >250
05-02-2021;34121515015;CABANAS; 80;Incidencia acumulada para o concello: >250
05-02-2021;34121515016;CAMARIÑAS; 19;Incidencia acumulada para o concello: >250
05-02-2021;34121515017;CAMBRE; 226;Incidencia acumulada para o concello: >250
05-02-2021;34121515018;CAPELA (A); 10;Incidencia acumulada para o concello: >250
05-02-2021;34121515019;CARBALLO; 305;Incidencia acumulada para o concello: >250
05-02-2021;34121515020;CARNOTA; 21;Incidencia acumulada para o concello: >250
05-02-2021;34121515021;CARRAL; 41;Incidencia acumulada para o concello: >250
05-02-2021;34121515022;CEDEIRA; 81;Incidencia acumulada para o concello: >250
05-02-2021;34121515023;CEE; 47;Incidencia acumulada para o concello: >250
05-02-2021;34121515024;CERCEDA; 45;Incidencia acumulada para o concello: >250
05-02-2021;34121515025;CERDIDO; 11;Incidencia acumulada para o concello: >250
05-02-2021;34121515027;COIROS; 22;Incidencia acumulada para o concello: >250
05-02-2021;34121515028;CORCUBION; entre 1 e 9;Incidencia acumulada para o concello: >250
05-02-2021;34121515029;CORISTANCO; 51;Incidencia acumulada para o concello: >250
05-02-2021;34121515030;CORUÑA (A); 1998;Incidencia acumulada para o concello: >250
05-02-2021;34121515031;CULLEREDO; 267;Incidencia acumulada para o concello: >250
05-02-2021;34121515032;CURTIS; 33;Incidencia acumulada para o concello: >250
05-02-2021;34121515033;DODRO; 31;Incidencia acumulada para o concello: >250
05-02-2021;34121515034;DUMBRIA; 26;Incidencia acumulada para o concello: >250
05-02-2021;34121515035;FENE; 96;Incidencia acumulada para o concello: >250
05-02-2021;34121515036;FERROL; 419;Incidencia acumulada para o concello: >250
05-02-2021;34121515037;FISTERRA; 18;Incidencia acumulada para o concello: >250
05-02-2021;34121515038;FRADES; 13;Incidencia acumulada para o concello: >250
05-02-2021;34121515039;IRIXOA; entre 1 e 9;Incidencia acumulada para o concello: >250
05-02-2021;34121515040;LAXE; 17;Incidencia acumulada para o concello: >250
05-02-2021;34121515041;LARACHA; 89;Incidencia acumulada para o concello: >250
05-02-2021;34121515042;LOUSAME; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
05-02-2021;34121515043;MALPICA DE BERGANTIÑOS; 45;Incidencia acumulada para o concello: >250
05-02-2021;34121515044;MAÑON; 14;Incidencia acumulada para o concello: >250
05-02-2021;34121515045;MAZARICOS; 16;Incidencia acumulada para o concello: >250
05-02-2021;34121515046;MELIDE; 60;Incidencia acumulada para o concello: >250
05-02-2021;34121515047;MESIA; 33;Incidencia acumulada para o concello: >250
05-02-2021;34121515048;MIÑO; 32;Incidencia acumulada para o concello: >250
05-02-2021;34121515049;MOECHE; 57;Incidencia acumulada para o concello: >250
05-02-2021;34121515050;MONFERO; 17;Incidencia acumulada para o concello: >250
05-02-2021;34121515051;MUGARDOS; 55;Incidencia acumulada para o concello: >250
05-02-2021;34121515052;MUXIA; 27;Incidencia acumulada para o concello: >250
05-02-2021;34121515053;MUROS; 21;Incidencia acumulada para o concello: >150 e <=250
05-02-2021;34121515054;NARON; 270;Incidencia acumulada para o concello: >250
05-02-2021;34121515055;NEDA; 18;Incidencia acumulada para o concello: >250
05-02-2021;34121515056;NEGREIRA; 39;Incidencia acumulada para o concello: >250
05-02-2021;34121515057;NOIA; 41;Incidencia acumulada para o concello: >250
05-02-2021;34121515058;OLEIROS; 227;Incidencia acumulada para o concello: >250
05-02-2021;34121515059;ORDES; 141;Incidencia acumulada para o concello: >250
05-02-2021;34121515060;OROSO; 45;Incidencia acumulada para o concello: >250
05-02-2021;34121515061;ORTIGUEIRA; 69;Incidencia acumulada para o concello: >250
05-02-2021;34121515062;OUTES; 28;Incidencia acumulada para o concello: >250
05-02-2021;34121515064;PADERNE; 17;Incidencia acumulada para o concello: >250
05-02-2021;34121515065;PADRON; 149;Incidencia acumulada para o concello: >250
05-02-2021;34121515066;PINO (O); 43;Incidencia acumulada para o concello: >250
05-02-2021;34121515067;POBRA DO CARAMIÑAL A; 29;Incidencia acumulada para o concello: >250
05-02-2021;34121515068;PONTECESO; 28;Incidencia acumulada para o concello: >250
05-02-2021;34121515069;PONTEDEUME; 66;Incidencia acumulada para o concello: >250
05-02-2021;34121515070;PONTES DE GARCIA RODRIGUEZ (AS); 67;Incidencia acumulada para o concello: >250
05-02-2021;34121515071;PORTO DO SON; 25;Incidencia acumulada para o concello: >250
05-02-2021;34121515072;RIANXO; 38;Incidencia acumulada para o concello: >250
05-02-2021;34121515073;RIBEIRA; 82;Incidencia acumulada para o concello: >250
05-02-2021;34121515074;ROIS; 103;Incidencia acumulada para o concello: >250
05-02-2021;34121515075;SADA; 167;Incidencia acumulada para o concello: >250
05-02-2021;34121515076;SAN SADURNIÑO; 50;Incidencia acumulada para o concello: >250
05-02-2021;34121515077;SANTA COMBA; 33;Incidencia acumulada para o concello: >250
05-02-2021;34121515078;SANTIAGO DE COMPOSTELA; 582;Incidencia acumulada para o concello: >250
05-02-2021;34121515079;SANTISO; entre 1 e 9;Incidencia acumulada para o concello: >250
05-02-2021;34121515080;SOBRADO; entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
05-02-2021;34121515081;SOMOZAS; entre 1 e 9;Incidencia acumulada para o concello: >250
05-02-2021;34121515082;TEO; 93;Incidencia acumulada para o concello: >250
05-02-2021;34121515083;TOQUES; entre 1 e 9;Incidencia acumulada para o concello: >250
05-02-2021;34121515084;TORDOIA; 29;Incidencia acumulada para o concello: >250
05-02-2021;34121515085;TOURO; 17;Incidencia acumulada para o concello: >250
05-02-2021;34121515086;TRAZO; 25;Incidencia acumulada para o concello: >250
05-02-2021;34121515087;VALDOVIÑO; 49;Incidencia acumulada para o concello: >250
05-02-2021;34121515088;VAL DO DUBRA; 49;Incidencia acumulada para o concello: >250
05-02-2021;34121515089;VEDRA; 66;Incidencia acumulada para o concello: >250
05-02-2021;34121515090;VILASANTAR; entre 1 e 9;Incidencia acumulada para o concello: >250
05-02-2021;34121515091;VILARMAIOR; entre 1 e 9;Incidencia acumulada para o concello: >250
05-02-2021;34121515092;VIMIANZO; 41;Incidencia acumulada para o concello: >250
05-02-2021;34121515093;ZAS; 16;Incidencia acumulada para o concello: >250
05-02-2021;34121515901;CARIÑO; 12;Incidencia acumulada para o concello: >250
