Fecha,Area_Sanitaria,Casos_Totais,Novos_Casos_Abertos_Ultimas24h,Pacientes_Sin_Alta,Pacientes_Con_Alta,Camas_Ocupadas_HOS,Camas_Ocupadas_UCI,Probas_Realizadas_PCR,Probas_Realizadas_Non_PDIA,Exitus,Probas_Antixenos_Realizadas
2022-01-14 18:00:00,"A.S. A CORUÑA E CEE","69.500","1.664","14.045","54.792","123","17","744.881","198.831","681","304.044"
2022-01-14 18:00:00,"A.S. FERROL","19.792","448","4.010","15.534","27","3","223.116","79.235","242","45.357"
2022-01-14 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","33.899","966","7.214","26.410","52","5","390.793","175.760","269","121.372"
2022-01-14 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","41.184","925","8.341","32.364","68","8","436.606","173.479","482","206.033"
2022-01-14 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","39.003","1.020","7.912","30.854","64","8","376.743","117.798","237","201.236"
2022-01-14 18:00:00,"A.S. SANTIAGO E BARBANZA","49.402","1.236","10.706","38.318","75","5","521.404","178.296","391","230.485"
2022-01-14 18:00:00,"A.S. VIGO","74.988","2.356","17.489","56.983","74","10","761.638","375.927","541","172.135"
2022-01-14 18:00:00,"GALICIA","327.768","8.615","69.717","255.255","483","56","3.455.181","1.299.326","2.843","1.280.662"
