Fecha,Area_Sanitaria,Casos_Totais,Casos_Confirmados_PDIA_Ultimas24h,Pacientes_Sin_Alta,Pacientes_Con_Alta,Camas_Ocupadas_HOS,Camas_Ocupadas_UCI,Probas_Realizadas_PCR,Probas_Realizadas_Non_PDIA,Exitus,Probas_Antixenos_Realizadas
2021-07-15 18:00:00,"A.S. A CORUÑA E CEE","32.522","184","1.330","30.604","19","5","553.988","158.166","603","196.040"
2021-07-15 18:00:00,"A.S. FERROL","9.076","52","301","8.551","5","2","155.528","63.586","218","17.802"
2021-07-15 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","13.972","100","700","13.050","8","0","269.460","140.265","217","46.295"
2021-07-15 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","17.681","207","1.617","15.647","15","3","278.246","136.347","418","84.996"
2021-07-15 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","16.243","263","1.550","14.512","11","3","261.864","97.194","181","93.637"
2021-07-15 18:00:00,"A.S. SANTIAGO E BARBANZA","21.265","178","976","19.936","7","0","385.685","149.997","365","110.068"
2021-07-15 18:00:00,"A.S. VIGO","27.435","269","1.845","25.159","17","1","542.369","277.221","439","76.846"
2021-07-15 18:00:00,"GALICIA","138.194","1.253","8.319","127.459","82","14","2.447.140","1.022.776","2.441","625.684"
