Fecha,Area_Sanitaria,Casos_Totais,Casos_Confirmados_PDIA_Ultimas24h,Pacientes_Sin_Alta,Pacientes_Con_Alta,Camas_Ocupadas_HOS,Camas_Ocupadas_UCI,Probas_Realizadas_PCR,Probas_Realizadas_Non_PDIA,Exitus,Probas_Antixenos_Realizadas
2021-09-09 18:00:00,"A.S. A CORUÑA E CEE","42.737","46","1.151","40.955","29","13","624.713","172.573","648","225.270"
2021-09-09 18:00:00,"A.S. FERROL","11.593","3","204","11.154","9","5","179.538","67.991","229","23.714"
2021-09-09 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","19.603","27","880","18.478","17","5","315.398","149.893","239","62.528"
2021-09-09 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","21.485","20","479","20.568","0","0","325.403","147.233","439","115.477"
2021-09-09 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","21.298","8","263","20.834","5","4","298.792","107.462","202","133.232"
2021-09-09 18:00:00,"A.S. SANTIAGO E BARBANZA","26.725","23","773","25.592","16","1","430.424","159.580","372","149.920"
2021-09-09 18:00:00,"A.S. VIGO","37.296","21","636","36.205","17","7","607.736","301.717","469","99.142"
2021-09-09 18:00:00,"GALICIA","180.737","148","4.386","173.786","93","35","2.782.004","1.106.449","2.598","809.283"
