Fecha,Area_Sanitaria,Casos_Totais,Casos_Confirmados_PDIA_Ultimas24h,Pacientes_Sin_Alta,Pacientes_Con_Alta,Camas_Ocupadas_HOS,Camas_Ocupadas_UCI,Probas_Realizadas_PCR,Probas_Realizadas_Non_PDIA,Exitus,Probas_Antixenos_Realizadas
2021-06-26 18:00:00,"A.S. A CORUÑA E CEE","31.076","11","471","30.021","21","4","530.128","154.357","599","187.637"
2021-06-26 18:00:00,"A.S. FERROL","8.738","5","65","8.450","0","2","151.142","62.320","217","16.377"
2021-06-26 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","13.201","16","189","12.791","4","1","258.823","137.184","216","43.049"
2021-06-26 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","15.987","14","164","15.406","5","1","266.697","133.220","418","75.744"
2021-06-26 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","14.577","34","207","14.189","6","2","247.511","93.458","181","84.996"
2021-06-26 18:00:00,"A.S. SANTIAGO E BARBANZA","20.230","23","146","19.731","0","1","373.203","147.137","365","100.306"
2021-06-26 18:00:00,"A.S. VIGO","25.423","24","209","24.783","0","1","523.247","271.193","439","71.598"
2021-06-26 18:00:00,"GALICIA","129.232","127","1.451","125.371","36","12","2.350.751","998.869","2.435","579.707"
