Fecha,Area_Sanitaria,Casos_Totais,Casos_Confirmados_PDIA_Ultimas24h,Pacientes_Sin_Alta,Pacientes_Con_Alta,Camas_Ocupadas_HOS,Camas_Ocupadas_UCI,Probas_Realizadas_PCR,Probas_Realizadas_Non_PDIA,Exitus,Probas_Antixenos_Realizadas
2021-12-26 18:00:00,"A.S. A CORUÑA E CEE","49.893","430","4.485","44.755","45","6","708.396","191.586","670","271.110"
2021-12-26 18:00:00,"A.S. FERROL","13.739","183","1.394","12.101","13","4","206.955","76.231","238","36.123"
2021-12-26 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","23.344","182","2.105","20.975","17","6","368.070","168.759","258","92.932"
2021-12-26 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","28.836","141","2.774","25.600","47","6","402.840","167.079","465","163.792"
2021-12-26 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","27.269","418","3.801","23.244","37","10","354.349","114.695","225","175.644"
2021-12-26 18:00:00,"A.S. SANTIAGO E BARBANZA","32.088","355","3.812","27.907","21","6","490.785","173.131","381","197.497"
2021-12-26 18:00:00,"A.S. VIGO","50.251","652","7.425","42.339","66","14","716.865","326.327","508","144.632"
2021-12-26 18:00:00,"GALICIA","225.420","2.361","25.796","196.921","246","52","3.248.260","1.217.808","2.745","1.081.730"
