Fecha,Area_Sanitaria,Casos_Totais,Casos_Confirmados_PDIA_Ultimas24h,Pacientes_Sin_Alta,Pacientes_Con_Alta,Camas_Ocupadas_HOS,Camas_Ocupadas_UCI,Probas_Realizadas_PCR,Probas_Realizadas_Non_PDIA,Exitus,Probas_Antixenos_Realizadas
2021-07-14 18:00:00,"A.S. A CORUÑA E CEE","32.331","149","1.191","30.552","18","4","551.940","157.867","603","195.435"
2021-07-14 18:00:00,"A.S. FERROL","9.023","39","264","8.535","3","2","155.175","63.527","218","17.684"
2021-07-14 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","13.869","105","631","13.016","3","2","268.787","140.156","217","46.024"
2021-07-14 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","17.467","214","1.429","15.621","18","3","277.175","136.161","418","83.564"
2021-07-14 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","15.939","183","1.285","14.473","8","3","261.147","96.320","181","92.473"
2021-07-14 18:00:00,"A.S. SANTIAGO E BARBANZA","21.084","165","817","19.914","5","0","383.873","149.787","365","108.304"
2021-07-14 18:00:00,"A.S. VIGO","27.139","227","1.591","25.117","10","0","540.640","276.422","439","76.405"
2021-07-14 18:00:00,"GALICIA","136.852","1.082","7.208","127.228","65","14","2.438.737","1.020.240","2.441","619.889"
