Fecha,Area_Sanitaria,Casos_Totais,Casos_Confirmados_PDIA_Ultimas24h,Pacientes_Sin_Alta,Pacientes_Con_Alta,Camas_Ocupadas_HOS,Camas_Ocupadas_UCI,Probas_Realizadas_PCR,Probas_Realizadas_Non_PDIA,Exitus,Probas_Antixenos_Realizadas
2021-07-25 18:00:00,"A.S. A CORUÑA E CEE","34.913","226","3.121","31.203","52","11","569.660","161.862","604","201.961"
2021-07-25 18:00:00,"A.S. FERROL","9.708","70","803","8.681","10","2","159.980","64.497","218","19.100"
2021-07-25 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","15.499","175","1.881","13.396","28","0","278.988","141.794","217","49.134"
2021-07-25 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","19.118","89","2.275","16.423","51","2","287.519","137.592","421","95.066"
2021-07-25 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","18.286","154","2.940","15.164","33","4","271.615","101.622","182","103.946"
2021-07-25 18:00:00,"A.S. SANTIAGO E BARBANZA","22.932","174","2.213","20.365","20","2","395.802","152.351","366","120.677"
2021-07-25 18:00:00,"A.S. VIGO","30.451","282","4.065","25.953","39","4","557.022","284.625","441","81.051"
2021-07-25 18:00:00,"GALICIA","150.907","1.170","17.298","131.185","233","25","2.520.586","1.044.343","2.449","670.935"
