Fecha,Area_Sanitaria,Casos_Totais,Casos_Confirmados_PDIA_Ultimas24h,Pacientes_Sin_Alta,Pacientes_Con_Alta,Camas_Ocupadas_HOS,Camas_Ocupadas_UCI,Probas_Realizadas_PCR,Probas_Realizadas_Non_PDIA,Exitus,Probas_Antixenos_Realizadas
2021-06-25 18:00:00,"A.S. A CORUÑA E CEE","31.065","34","486","29.995","18","4","529.216","154.285","599","187.366"
2021-06-25 18:00:00,"A.S. FERROL","8.733","3","63","8.447","0","2","150.984","62.308","217","16.315"
2021-06-25 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","13.185","19","191","12.773","3","1","258.428","137.145","216","42.929"
2021-06-25 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","15.973","15","163","15.393","4","1","266.248","133.201","418","75.552"
2021-06-25 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","14.542","32","176","14.185","5","2","247.142","93.400","181","84.776"
2021-06-25 18:00:00,"A.S. SANTIAGO E BARBANZA","20.207","16","131","19.723","0","1","372.747","147.100","365","100.014"
2021-06-25 18:00:00,"A.S. VIGO","25.401","18","203","24.767","0","1","522.638","270.988","439","71.454"
2021-06-25 18:00:00,"GALICIA","129.106","137","1.413","125.283","30","12","2.347.403","998.427","2.435","578.406"
