Fecha,Area_Sanitaria,Casos_Totais,Casos_Confirmados_PDIA_Ultimas24h,Pacientes_Sin_Alta,Pacientes_Con_Alta,Camas_Ocupadas_HOS,Camas_Ocupadas_UCI,Probas_Realizadas_PCR,Probas_Realizadas_Non_PDIA,Exitus,Probas_Antixenos_Realizadas
2021-07-22 18:00:00,"A.S. A CORUÑA E CEE","34.141","271","2.591","30.962","40","8","565.391","160.863","603","199.852"
2021-07-22 18:00:00,"A.S. FERROL","9.476","75","637","8.615","14","2","158.617","64.204","218","18.785"
2021-07-22 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","14.970","186","1.498","13.250","18","1","274.755","141.290","217","48.360"
2021-07-22 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","18.769","156","2.341","16.010","50","1","284.667","137.380","419","93.345"
2021-07-22 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","17.701","190","2.615","14.905","30","5","268.721","100.835","181","100.953"
2021-07-22 18:00:00,"A.S. SANTIAGO E BARBANZA","22.387","235","1.883","20.150","8","2","392.613","151.680","366","117.628"
2021-07-22 18:00:00,"A.S. VIGO","29.566","423","3.544","25.590","29","4","552.335","282.799","440","79.822"
2021-07-22 18:00:00,"GALICIA","147.010","1.536","15.109","129.482","189","23","2.497.099","1.039.051","2.444","658.745"
