Fecha,Area_Sanitaria,Casos_Totais,Casos_Confirmados_PDIA_Ultimas24h,Pacientes_Sin_Alta,Pacientes_Con_Alta,Camas_Ocupadas_HOS,Camas_Ocupadas_UCI,Probas_Realizadas_PCR,Probas_Realizadas_Non_PDIA,Exitus,Probas_Antixenos_Realizadas
2021-06-22 18:00:00,"A.S. A CORUÑA E CEE","30.975","32","464","29.928","13","6","525.941","153.764","598","186.406"
2021-06-22 18:00:00,"A.S. FERROL","8.731","1","90","8.418","4","2","150.469","62.206","217","16.159"
2021-06-22 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","13.124","8","164","12.739","4","1","257.181","136.948","216","42.487"
2021-06-22 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","15.929","7","139","15.373","1","1","265.149","133.024","418","74.840"
2021-06-22 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","14.446","8","116","14.149","6","1","245.972","93.061","181","84.018"
2021-06-22 18:00:00,"A.S. SANTIAGO E BARBANZA","20.158","9","105","19.700","1","1","371.476","146.718","365","99.033"
2021-06-22 18:00:00,"A.S. VIGO","25.333","18","191","24.711","7","1","521.269","270.299","439","70.842"
2021-06-22 18:00:00,"GALICIA","128.696","83","1.269","125.018","36","13","2.337.457","996.020","2.434","573.785"
