Fecha,Area_Sanitaria,Casos_Totais,Casos_Confirmados_PDIA_Ultimas24h,Pacientes_Sin_Alta,Pacientes_Con_Alta,Camas_Ocupadas_HOS,Camas_Ocupadas_UCI,Probas_Realizadas_PCR,Probas_Realizadas_Non_PDIA,Exitus,Probas_Antixenos_Realizadas
2021-07-13 18:00:00,"A.S. A CORUÑA E CEE","32.180","111","1.086","30.507","17","4","550.005","157.716","602","194.982"
2021-07-13 18:00:00,"A.S. FERROL","8.983","24","231","8.529","3","2","154.840","63.498","217","17.551"
2021-07-13 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","13.765","59","539","13.004","2","1","268.071","140.108","217","45.743"
2021-07-13 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","17.253","163","1.243","15.593","12","0","275.916","136.035","418","82.940"
2021-07-13 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","15.747","153","1.139","14.427","10","3","260.305","96.025","181","91.491"
2021-07-13 18:00:00,"A.S. SANTIAGO E BARBANZA","20.922","106","671","19.898","6","0","382.752","149.620","365","106.962"
2021-07-13 18:00:00,"A.S. VIGO","26.905","164","1.389","25.085","7","0","539.593","275.898","439","76.059"
2021-07-13 18:00:00,"GALICIA","135.755","780","6.298","127.043","57","10","2.431.482","1.018.900","2.439","615.728"
