Fecha,Area_Sanitaria,Casos_Totais,Casos_Confirmados_PDIA_Ultimas24h,Pacientes_Sin_Alta,Pacientes_Con_Alta,Camas_Ocupadas_HOS,Camas_Ocupadas_UCI,Probas_Realizadas_PCR,Probas_Realizadas_Non_PDIA,Exitus,Probas_Antixenos_Realizadas
2021-09-26 18:00:00,"A.S. A CORUÑA E CEE","43.030","6","277","42.115","15","5","633.882","174.820","655","231.292"
2021-09-26 18:00:00,"A.S. FERROL","11.619","0","29","11.354","0","0","182.642","68.888","230","24.973"
2021-09-26 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","19.891","8","226","19.410","7","2","322.294","152.652","249","65.597"
2021-09-26 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","21.688","8","197","21.050","4","4","333.122","149.350","442","121.307"
2021-09-26 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","21.405","3","82","21.120","5","2","302.512","108.287","204","139.128"
2021-09-26 18:00:00,"A.S. SANTIAGO E BARBANZA","26.933","3","154","26.415","8","2","437.935","161.158","376","155.858"
2021-09-26 18:00:00,"A.S. VIGO","37.575","5","242","36.875","2","2","615.791","305.099","473","103.915"
2021-09-26 18:00:00,"GALICIA","182.141","33","1.207","178.339","41","17","2.828.178","1.120.254","2.629","842.070"
