Fecha,Area_Sanitaria,Casos_Totais,Novos_Casos_Abertos_Ultimas24h,Pacientes_Sin_Alta,Pacientes_Con_Alta,Camas_Ocupadas_HOS,Camas_Ocupadas_UCI,Probas_Realizadas_PCR,Probas_Realizadas_Non_PDIA,Exitus,Probas_Antixenos_Realizadas
2022-01-16 18:00:00,"A.S. A CORUÑA E CEE","72.174","1.057","14.747","56.764","134","14","747.615","198.864","681","306.534"
2022-01-16 18:00:00,"A.S. FERROL","20.429","250","4.077","16.104","31","3","223.986","79.245","242","45.993"
2022-01-16 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","35.215","469","7.439","27.501","62","6","392.487","175.897","269","124.084"
2022-01-16 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","42.486","502","8.149","33.857","85","8","439.732","173.482","483","209.340"
2022-01-16 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","40.524","579","8.459","31.826","71","7","377.980","117.837","239","203.403"
2022-01-16 18:00:00,"A.S. SANTIAGO E BARBANZA","51.279","761","10.700","40.200","84","6","522.608","178.299","392","232.692"
2022-01-16 18:00:00,"A.S. VIGO","78.415","1.303","19.002","58.897","89","10","763.757","387.260","541","174.889"
2022-01-16 18:00:00,"GALICIA","340.522","4.921","72.573","265.149","556","54","3.468.165","1.310.884","2.847","1.296.935"
