Fecha,Area_Sanitaria,Casos_Totais,Casos_Confirmados_PDIA_Ultimas24h,Pacientes_Sin_Alta,Pacientes_Con_Alta,Camas_Ocupadas_HOS,Camas_Ocupadas_UCI,Probas_Realizadas_PCR,Probas_Realizadas_Non_PDIA,Exitus,Probas_Antixenos_Realizadas
2021-06-29 18:00:00,"A.S. A CORUÑA E CEE","31.178","34","512","30.081","27","3","533.039","154.458","600","188.584"
2021-06-29 18:00:00,"A.S. FERROL","8.758","9","76","8.459","1","1","151.664","62.327","217","16.535"
2021-06-29 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","13.244","19","206","12.817","3","2","260.697","137.246","216","43.466"
2021-06-29 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","16.019","16","168","15.434","5","0","267.760","133.246","418","76.421"
2021-06-29 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","14.644","31","262","14.201","6","3","248.718","93.563","181","85.834"
2021-06-29 18:00:00,"A.S. SANTIAGO E BARBANZA","20.262","15","164","19.745","1","1","374.676","147.198","365","101.464"
2021-06-29 18:00:00,"A.S. VIGO","25.533","33","285","24.817","1","0","524.677","271.348","439","72.175"
2021-06-29 18:00:00,"GALICIA","129.638","157","1.673","125.554","44","10","2.361.231","999.386","2.436","584.479"
