Fecha,Area_Sanitaria,Casos_Totais,Casos_Confirmados_PDIA_Ultimas24h,Pacientes_Sin_Alta,Pacientes_Con_Alta,Camas_Ocupadas_HOS,Camas_Ocupadas_UCI,Probas_Realizadas_PCR,Probas_Realizadas_Non_PDIA,Exitus,Probas_Antixenos_Realizadas
2021-06-06 18:00:00,"A.S. A CORUÑA E CEE","30.508","17","324","29.605","12","2","508.930","150.131","593","180.756"
2021-06-06 18:00:00,"A.S. FERROL","8.642","2","89","8.330","8","1","145.812","60.923","217","15.201"
2021-06-06 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","12.967","7","224","12.522","6","2","249.635","134.114","216","39.738"
2021-06-06 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","15.782","11","161","15.204","7","0","258.785","130.197","418","70.494"
2021-06-06 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","14.327","8","193","13.953","13","2","239.839","91.420","181","78.866"
2021-06-06 18:00:00,"A.S. SANTIAGO E BARBANZA","20.047","6","295","19.401","15","3","364.327","144.136","364","93.608"
2021-06-06 18:00:00,"A.S. VIGO","25.150","7","448","24.273","7","5","514.153","266.347","437","67.048"
2021-06-06 18:00:00,"GALICIA","127.423","58","1.734","123.288","68","15","2.281.481","977.268","2.426","545.711"
