Fecha,Area_Sanitaria,Casos_Totais,Casos_Confirmados_PDIA_Ultimas24h,Pacientes_Sin_Alta,Pacientes_Con_Alta,Camas_Ocupadas_HOS,Camas_Ocupadas_UCI,Probas_Realizadas_PCR,Probas_Realizadas_Non_PDIA,Exitus,Probas_Antixenos_Realizadas
2021-09-15 18:00:00,"A.S. A CORUÑA E CEE","42.917","29","760","41.523","27","9","628.348","174.552","651","227.483"
2021-09-15 18:00:00,"A.S. FERROL","11.603","0","103","11.265","6","2","181.044","68.031","229","24.050"
2021-09-15 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","19.748","26","525","18.972","17","3","318.296","150.486","245","63.491"
2021-09-15 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","21.559","18","299","20.821","11","5","328.323","147.299","440","117.637"
2021-09-15 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","21.354","7","187","20.966","4","3","300.468","107.710","202","135.550"
2021-09-15 18:00:00,"A.S. SANTIAGO E BARBANZA","26.831","4","456","26.013","12","2","433.552","159.701","374","152.196"
2021-09-15 18:00:00,"A.S. VIGO","37.431","33","434","36.541","11","7","610.791","302.357","471","100.671"
2021-09-15 18:00:00,"GALICIA","181.443","117","2.764","176.101","88","31","2.800.822","1.110.136","2.612","821.078"
