Fecha,Area_Sanitaria,Casos_Totais,Casos_Confirmados_PDIA_Ultimas24h,Pacientes_Sin_Alta,Pacientes_Con_Alta,Camas_Ocupadas_HOS,Camas_Ocupadas_UCI,Probas_Realizadas_PCR,Probas_Realizadas_Non_PDIA,Exitus,Probas_Antixenos_Realizadas
2021-07-09 18:00:00,"A.S. A CORUÑA E CEE","31.792","101","821","30.384","15","3","545.470","156.019","602","192.517"
2021-07-09 18:00:00,"A.S. FERROL","8.891","25","163","8.505","4","4","153.875","63.417","217","17.237"
2021-07-09 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","13.589","55","414","12.953","5","1","266.205","139.423","217","45.116"
2021-07-09 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","16.672","125","726","15.529","7","0","273.072","135.702","418","79.768"
2021-07-09 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","15.261","114","741","14.339","8","4","257.059","95.138","181","89.141"
2021-07-09 18:00:00,"A.S. SANTIAGO E BARBANZA","20.631","63","432","19.846","3","0","380.098","149.128","365","105.098"
2021-07-09 18:00:00,"A.S. VIGO","26.262","142","871","24.960","5","0","533.361","274.511","439","74.805"
2021-07-09 18:00:00,"GALICIA","133.098","625","4.168","126.516","47","12","2.409.140","1.013.338","2.439","603.682"
