Fecha,Area_Sanitaria,Casos_Totais,Novos_Casos_Abertos_Ultimas24h,Pacientes_Sin_Alta,Pacientes_Con_Alta,Camas_Ocupadas_HOS,Camas_Ocupadas_UCI,Probas_Realizadas_PCR,Probas_Realizadas_Non_PDIA,Exitus,Probas_Antixenos_Realizadas
,"","","0","","","","","","226","",""
2022-02-06 18:00:00,"A.S. A CORUÑA E CEE","95.348","611","11.596","83.065","193","14","775.361","204.656","705","333.862"
2022-02-06 18:00:00,"A.S. FERROL","25.583","146","2.507","22.820","40","1","232.793","81.450","250","52.359"
2022-02-06 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","46.642","325","5.573","40.776","72","9","410.625","181.394","287","143.305"
2022-02-06 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","53.852","260","5.185","48.162","114","4","463.947","177.884","509","238.386"
2022-02-06 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","52.622","344","5.731","46.645","80","7","391.498","120.077","246","220.923"
2022-02-06 18:00:00,"A.S. SANTIAGO E BARBANZA","69.897","502","9.390","60.116","99","7","538.820","182.735","411","256.995"
2022-02-06 18:00:00,"A.S. VIGO","107.866","551","13.724","93.594","91","6","788.156","474.233","568","201.027"
2022-02-06 18:00:00,"GALICIA","451.810","2.739","53.706","395.178","689","48","3.601.200","1.422.655","2.976","1.446.857"
