Fecha,Area_Sanitaria,Casos_Totais,Novos_Casos_Abertos_Ultimas24h,Pacientes_Sin_Alta,Pacientes_Con_Alta,Camas_Ocupadas_HOS,Camas_Ocupadas_UCI,Probas_Realizadas_PCR,Probas_Realizadas_Non_PDIA,Exitus,Probas_Antixenos_Realizadas
2022-02-15 18:00:00,"A.S. A CORUÑA E CEE","100.717","493","7.557","92.460","149","9","784.920","208.710","721","340.444"
2022-02-15 18:00:00,"A.S. FERROL","26.905","110","1.751","24.894","37","1","236.288","82.400","254","54.256"
2022-02-15 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","49.474","280","3.601","45.567","49","1","416.627","183.298","302","148.123"
2022-02-15 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","56.848","305","3.648","52.681","93","5","473.367","179.586","523","245.450"
2022-02-15 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","55.423","240","3.818","51.353","93","5","396.312","122.277","252","225.913"
2022-02-15 18:00:00,"A.S. SANTIAGO E BARBANZA","74.662","475","6.030","68.233","90","7","545.111","186.404","419","264.564"
2022-02-15 18:00:00,"A.S. VIGO","113.675","502","7.336","105.772","76","9","796.770","479.392","585","207.747"
2022-02-15 18:00:00,"SEN A.S. ASIGNADA","439","32","398","41","0","0","0","712","0","0"
2022-02-15 18:00:00,"GALICIA","478.143","2.437","34.139","441.001","587","37","3.649.395","1.442.779","3.056","1.486.497"
